run_name,lora_rank,lora_alpha,learning_rate,num_epochs,trainable_params,trainable_pct,train_loss,eval_loss,train_time_seconds,train_samples_per_second
r2_a8,2,8,0.0003,3,202752,0.1627,2.8577,2.5607,7481.1,0.0
r4_a16,4,16,0.0003,3,405504,0.3248,2.8194,2.5329,7458.4,0.0
r8_a16,8,16,0.0003,3,811008,0.6475,2.818,2.5329,7362.9,0.0
r8_a32,8,32,0.0003,3,811008,0.6475071587557562,2.783664009094238,2.511279582977295,6824.667736291885,0.22
r16_a32,16,32,0.0003,3,1622016,1.2866829532785438,2.783180508931478,2.5101664066314697,6746.463549852371,0.222
